Layer                  ,ObjectType    ,Geometry  ,Color ,Orientation ,VAlign   ,HAlign   ,Text       ,Symbol ,Linetype   ,Lineweight ,Textsize ,Font     ,Mapping
FER-PUNKT              ,LKPunkt       ,SymbolPos ,30    ,SymbolOri   ,         ,         ,           ,BWA965 ,           ,           ,         ,         ,Objektart=Fernwaerme
FER-TEXT               ,LKObjekt_Text ,TextPos   ,30    ,TextOri     ,TextVAli ,TextHAli ,Textinhalt ,       ,           ,           ,1.25     ,Cadastra ,Objektart=Fernwaerme
KOM-LINIE-GENAU        ,LKLinie       ,Linie     ,80    ,            ,         ,         ,           ,       ,Continuous ,0.25       ,         ,         ,Objektart=Kommunikation.Trasse.unterirdisch Lagebestimmung=genau
KOM-LINIE-UNGENAU      ,LKLinie       ,Linie     ,80    ,            ,         ,         ,           ,       ,Dashed     ,0.25       ,         ,         ,Objektart=Kommunikation.Trasse.unterirdisch Lagebestimmung=ungenau|unbekannt
KOM-LINIE-OBERIRDISCH  ,LKLinie       ,Linie     ,80    ,            ,         ,         ,           ,       ,Continuous ,0.25       ,         ,         ,Objektart=Kommunikation.Trasse.oberirdisch
KOM-FLAECHE            ,LKFlaeche     ,Flaeche   ,80    ,            ,         ,         ,           ,       ,           ,           ,         ,         ,Objektart=Kommunikation
KOM-PUNKT              ,LKPunkt       ,SymbolPos ,80    ,SymbolOri   ,         ,         ,           ,BEW15  ,           ,           ,         ,         ,Objektart=Kommunikation
KOM-TEXT               ,LKObjekt_Text ,TextPos   ,80    ,TextOri     ,TextVAli ,TextHAli ,Textinhalt ,       ,           ,           ,1.25     ,Cadastra ,Objektart=Kommunikation
WEI-LINIEFWK-GENAU     ,LKLinie       ,Linie     ,50    ,            ,         ,         ,           ,       ,Continuous ,0.25       ,         ,         ,Objektart=weitereMedien.Fernwirkkabel Lagebestimmung=genau
WEI-LINIEFWK-UNGENAU   ,LKLinie       ,Linie     ,50    ,            ,         ,         ,           ,       ,Dashed     ,0.25       ,         ,         ,Objektart=weitereMedien.Fernwirkkabel Lagebestimmung=ungenau|unbekannt
WEI-LINIE-GENAU        ,LKLinie       ,Linie     ,50    ,            ,         ,         ,           ,       ,Continuous ,0.25       ,         ,         ,Objektart=weitereMedien.Leitung|weitereMedien.Schutzrohr Lagebestimmung=genau
WEI-LINIE-UNGENAU      ,LKLinie       ,Linie     ,50    ,            ,         ,         ,           ,       ,Dashed     ,0.25       ,         ,         ,Objektart=weitereMedien.Leitung|weitereMedien.Schutzrohr Lagebestimmung=ungenau|unbekannt
WEI-FLAECHE            ,LKFlaeche     ,Flaeche   ,50    ,            ,         ,         ,           ,       ,           ,           ,         ,         ,Objektart=weitereMedien
WEI-PUNKT              ,LKPunkt       ,SymbolPos ,50    ,SymbolOri   ,         ,         ,           ,BEW15  ,           ,           ,         ,         ,Objektart=weitereMedien
WEI-TEXT               ,LKObjekt_Text ,TextPos   ,50    ,TextOri     ,TextVAli ,TextHAli ,Textinhalt ,       ,           ,           ,1.25     ,Cadastra ,Objektart=weitereMedien
